BOROUGH,NEIGHBORHOOD,BUILDING_CATEGORY,ADDRESS,ZIP_CODE,LAND_SQR_FT,GROSS_SQR_FT,YEAR_BUILT,PRICE,long,lat
BROOKLYN,CANARSIE                 ,TWO FAMILY HOMES,1065 EAST 104TH STREET                   ,11236,2000,1635,1955,470000,-73.89203643798828,40.64427185058594
QUEENS,ASTORIA                  ,TWO FAMILY HOMES,21-13 43RD STREET                        ,11105,1800,1816,1965,515000,-73.90187072753906,40.772640228271484
QUEENS,FLUSHING-NORTH,THREE FAMILY HOMES,45-33 160TH STREET,11358,3000,3040,1972,1640000,-73.80467987060547,40.766761779785156
STATEN ISLAND,ANNADALE                 ,ONE FAMILY HOME,153 NORTH PINE TERRACE                   ,10312,7840,1912,1965,540000,-74.17955017089844,40.5394287109375
STATEN ISLAND,OAKWOOD-BEACH,ONE FAMILY HOME,342 FAIRBANKS AVENUE,10306,2300,1152,1970,560000,-74.12389373779297,40.556800842285156
BROOKLYN,EAST NEW YORK            ,TWO FAMILY HOMES,985 GLENMORE AVENUE                      ,11208,1716,2193,2006,428784,-74.11316680908203,40.62331771850586
QUEENS,QUEENS VILLAGE,ONE FAMILY HOME,92-63 218TH   STREET,11428,4000,1469,1945,448535,-73.7396011352539,40.721981048583984
STATEN ISLAND,ELTINGVILLE              ,ONE FAMILY HOME,40 LORING AVENUE                         ,10312,2275,1840,1975,425000,-74.17977905273438,40.55453872680664
BROOKLYN,BROWNSVILLE              ,ONE FAMILY HOME,733 SACKMAN STREET                       ,11212,3000,1120,1986,360000,-73.90206146240234,40.65943908691406
STATEN ISLAND,DONGAN HILLS-COLONY      ,ONE FAMILY HOME,15 CHAPIN AVENUE                         ,10304,6615,3648,1980,650000,-74.09944915771484,40.595970153808594
QUEENS,FAR ROCKAWAY,TWO FAMILY HOMES,12-67 WATERVIEW STREET,11691,1910,1683,1960,460000,-73.76898193359375,40.60675048828125
STATEN ISLAND,WILLOWBROOK              ,ONE FAMILY HOME,1165 WILLOWBROOK ROAD                    ,10314,3500,2314,1999,660000,-74.13400268554688,40.60369873046875
STATEN ISLAND,NEW SPRINGVILLE          ,TWO FAMILY HOMES,68 BANGOR STREET                         ,10314,4100,2284,1975,605000,-74.15393829345703,40.58522033691406
QUEENS,HOWARD BEACH             ,ONE FAMILY HOME,15837 90TH STREET                        ,11414,4000,2225,1950,535000,-73.84284973144531,40.65983963012695
QUEENS,FLUSHING-NORTH           ,ONE FAMILY HOME,45-42 169TH   STREET                     ,11358,2600,1188,1951,520000,-73.79843139648438,40.7546501159668
BROOKLYN,SHEEPSHEAD BAY           ,ONE FAMILY HOME,2562 EAST 14TH STREET                    ,11235,1850,1944,1970,679000,-73.95565032958984,40.588409423828125
STATEN ISLAND,WILLOWBROOK              ,ONE FAMILY HOME,47 FILLMORE AVENUE                       ,10314,2000,1320,2004,405600,-74.13397979736328,40.60289001464844
QUEENS,JACKSON HEIGHTS          ,ONE FAMILY HOME,30-63 86TH   STREET                      ,11369,1800,1807,1950,680000,-73.88207244873047,40.759891510009766
QUEENS,FLUSHING-NORTH           ,ONE FAMILY HOME,142-34 60TH AVENUE                       ,11355,2200,966,1950,590000,-73.82392883300781,40.742618560791016
BROOKLYN,BEDFORD STUYVESANT       ,THREE FAMILY HOMES,773 LEXINGTON                            ,11221,3333,5280,2004,750000,-73.92996978759766,40.690311431884766
QUEENS,SPRINGFIELD GARDENS      ,ONE FAMILY HOME,120-41 197TH   STREET                    ,11412,3800,1665,1945,390000,-73.75189971923828,40.688499450683594
BROOKLYN,CANARSIE,TWO FAMILY HOMES,8604 AVENUE M,11236,2000,1540,1955,550000,-73.9012680053711,40.631771087646484
QUEENS,BAYSIDE                  ,ONE FAMILY HOME,204-27 47TH   ROAD                       ,11361,5000,2750,1950,475000,-73.77568054199219,40.75428009033203
QUEENS,FRESH MEADOWS            ,ONE FAMILY HOME,73-36 183RD   STREET                     ,11366,4000,1984,1950,640000,-73.78717041015625,40.73054122924805
QUEENS,CORONA                   ,ONE FAMILY HOME,3530 POWER ROAD                          ,11368,2500,6295,2004,999000,-74.22915649414062,40.51850128173828
BRONX,WILLIAMSBRIDGE,THREE FAMILY HOMES,678 EAST 233 STREET,10466,1297,3348,2006,770000,-74.22931671142578,40.51860046386719
QUEENS,LAURELTON                ,ONE FAMILY HOME,130-62 224 STREET                        ,11413,3700,2036,1950,365000,-73.73477172851562,40.68498992919922
BROOKLYN,WILLIAMSBURG-EAST        ,TWO FAMILY HOMES,107 MESEROLE STREET                      ,11206,1250,2900,2012,1564275,-73.94544982910156,40.70798873901367
STATEN ISLAND,ANNADALE                 ,TWO FAMILY HOMES,4678 HYLAN BOULEVARD                     ,10312,5742,1906,1982,585000,-74.16219329833984,40.52872085571289
STATEN ISLAND,NEW DORP-HEIGHTS         ,TWO FAMILY HOMES,59 WOLVERINE STREET                      ,10306,4000,2200,1970,570000,-74.12992095947266,40.56739044189453
QUEENS,MIDDLE VILLAGE           ,TWO FAMILY HOMES,69-38 ELIOT AVENUE                       ,11379,1539,2268,1960,415000,-73.88980865478516,40.71979904174805
STATEN ISLAND,OAKWOOD-BEACH            ,TWO FAMILY HOMES,260 CHESTERTON AVENUE                    ,10306,4040,2080,1960,470000,-74.12641906738281,40.55746841430664
BROOKLYN,FLATBUSH-EAST            ,TWO FAMILY HOMES,1510 NEW YORK AVENUE                     ,11210,2050,3240,2005,400000,-73.94529724121094,40.63591003417969
BRONX,COUNTRY CLUB             ,ONE FAMILY HOME,1369 KEARNEY AVENUE                      ,10465,2302,1944,1955,415000,-73.82466888427734,40.84101867675781
BROOKLYN,CANARSIE                 ,TWO FAMILY HOMES,9219 SEAVIEW AVENUE                      ,11236,2118,1586,1960,423000,-73.89324188232422,40.63188934326172
STATEN ISLAND,WILLOWBROOK              ,TWO FAMILY HOMES,251 CRAFTON AVENUE                       ,10314,4200,2620,1970,560000,-74.1418228149414,40.60472869873047
QUEENS,SPRINGFIELD GARDENS      ,ONE FAMILY HOME,141-03 182 STREET                        ,11413,2754,1530,1950,389500,-73.74714660644531,40.6710205078125
STATEN ISLAND,WESTERLEIGH,ONE FAMILY HOME,81 HOUSTON STREET,10302,2500,1230,1970,460000,-74.1468276977539,40.621910095214844
BRONX,RIVERDALE,ONE FAMILY HOME,680-02 WEST 246TH STREET,10471,5508,3780,1987,1625000,-73.90279388427734,40.89344024658203
STATEN ISLAND,DONGAN HILLS             ,ONE FAMILY HOME,245-B SEAVIEW AVENUE                     ,10305,2475,1326,1955,340000,-74.08599090576172,40.58766174316406
QUEENS,FLUSHING-NORTH           ,THREE FAMILY HOMES,162-17 LABURNUM AVENUE                   ,11358,3026,3218,2006,918461,-73.80445861816406,40.751808166503906
QUEENS,WHITESTONE               ,ONE FAMILY HOME,7-09 151 PLACE                           ,11357,4140,2527,1945,850000,-73.81144714355469,40.79629898071289
STATEN ISLAND,TOTTENVILLE              ,ONE FAMILY HOME,7167 AMBOY ROAD                          ,10307,5350,3323,2004,645000,-74.23789978027344,40.513450622558594
QUEENS,BAYSIDE                  ,ONE FAMILY HOME,43-18 208TH   STREET                     ,11361,4000,1230,1945,599000,-73.77613830566406,40.759239196777344
STATEN ISLAND,NEW DORP-HEIGHTS         ,ONE FAMILY HOME,20 EAST BROADWAY                         ,10306,2829,2200,1960,350000,-74.12763977050781,40.56806182861328
QUEENS,HOLLIS,ONE FAMILY HOME,89-39 211TH STREET,11427,4800,1290,1950,705000,-73.7531509399414,40.72153854370117
BROOKLYN,BERGEN BEACH             ,THREE FAMILY HOMES,7204 BERGEN COURT                        ,11234,3050,3580,1965,780000,-73.91120910644531,40.62451934814453
QUEENS,OAKLAND GARDENS,TWO FAMILY HOMES,215-15 67TH AVENUE,11364,5950,1364,1950,886000,-73.76013946533203,40.74401092529297
QUEENS,OAKLAND GARDENS          ,ONE FAMILY HOME,67-39 215TH STREET                       ,11364,2600,1116,1950,550000,-73.75987243652344,40.742549896240234
QUEENS,JACKSON HEIGHTS          ,TWO FAMILY HOMES,24-38 78TH STREET                        ,11370,2200,1717,1955,563000,-73.8895492553711,40.76150894165039
QUEENS,LAURELTON                ,ONE FAMILY HOME,13605 222 STREET                         ,11413,1826,1408,1945,305000,-73.74688720703125,40.67707824707031
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,TWO FAMILY HOMES,1711 UNDERCLIFF AVENUE                   ,10453,2500,2530,1965,350000,-73.92115783691406,40.85042953491211
STATEN ISLAND,PRINCES BAY              ,TWO FAMILY HOMES,89 SANTA MONICA LANE                     ,10309,2968,1894,2004,600000,-74.21220397949219,40.53623962402344
QUEENS,BAYSIDE                  ,ONE FAMILY HOME,35-27 208TH   STREET                     ,11361,6000,1996,1950,472500,-74.22915649414062,40.51850128173828
QUEENS,SOUTH JAMAICA            ,ONE FAMILY HOME,153-06 112TH   AVENUE                    ,11433,3255,1776,1950,347193,-73.79386138916016,40.68770980834961
STATEN ISLAND,TODT HILL                ,ONE FAMILY HOME,300 OCEAN TERRACE                        ,10301,77800,3024,1950,1442750,-74.11019134521484,40.603389739990234
QUEENS,FLUSHING-NORTH           ,THREE FAMILY HOMES,143-35 QUINCE AVENUE                     ,11355,5000,3442,1970,1030000,-74.22915649414062,40.51850128173828
STATEN ISLAND,ANNADALE                 ,TWO FAMILY HOMES,5190 AMBOY ROAD                          ,10312,3523,3448,2004,773870,-74.18328094482422,40.5349006652832
BRONX,WILLIAMSBRIDGE,TWO FAMILY HOMES,3609 BRONXWOOD AVENUE,10469,1927,2704,1965,645000,-73.85928344726562,40.878150939941406
STATEN ISLAND,WILLOWBROOK              ,ONE FAMILY HOME,403 BUCHANAN AVENUE                      ,10314,3920,2016,1970,560000,-74.13365173339844,40.60498809814453
STATEN ISLAND,HUGUENOT                 ,ONE FAMILY HOME,674 EDGEGROVE AVENUE                     ,10312,12221,2424,2011,355000,-74.19345092773438,40.537330627441406
QUEENS,FLUSHING-NORTH           ,ONE FAMILY HOME,166-70 21ST AVENUE                       ,11357,4140,2798,1950,565000,-73.79515075683594,40.77811813354492
BROOKLYN,CANARSIE                 ,TWO FAMILY HOMES,1004 EAST 105TH STREET                   ,11236,3400,1760,1955,308000,-73.89286804199219,40.6456298828125
BROOKLYN,MILL BASIN               ,ONE FAMILY HOME,2769 EAST 64TH   STREET                  ,11234,2300,1324,1965,537000,-73.91384887695312,40.60588836669922
QUEENS,BRIARWOOD,ONE FAMILY HOME,143-25 84TH ROAD,11435,4160,1212,1960,800000,-73.81330871582031,40.71302032470703
QUEENS,OAKLAND GARDENS          ,ONE FAMILY HOME,69-66 230 STREET                         ,11364,4000,3506,1950,600000,-74.22931671142578,40.51860046386719
BROOKLYN,MILL BASIN               ,ONE FAMILY HOME,2665 EAST 65 STREET                      ,11234,4100,2348,1960,845000,-73.90682983398438,40.62886047363281
QUEENS,SPRINGFIELD GARDENS      ,TWO FAMILY HOMES,141-45 182ND STREET                      ,11413,3109,2710,1997,643500,-73.76158905029297,40.66954040527344
STATEN ISLAND,OAKWOOD                  ,TWO FAMILY HOMES,57 GUYON AVENUE                          ,10306,4160,2200,1975,550000,-74.12889862060547,40.56507873535156
QUEENS,FRESH MEADOWS            ,ONE FAMILY HOME,67-19 197TH STREET                       ,11365,2221,1440,1960,530000,-73.77635192871094,40.738731384277344
BRONX,WESTCHESTER,TWO FAMILY HOMES,2354 GLEBE AVENUE,10462,3645,2691,1945,456000,-74.22915649414062,40.51850128173828
STATEN ISLAND,GREAT KILLS              ,ONE FAMILY HOME,48 CHERRYWOOD COURT                      ,10308,1500,1350,1985,339000,-74.14372253417969,40.5602912902832
STATEN ISLAND,MANOR HEIGHTS            ,ONE FAMILY HOME,62 BOLIVAR STREET                        ,10314,4655,1820,1975,520000,-74.11824798583984,40.602378845214844
BROOKLYN,BEDFORD STUYVESANT       ,THREE FAMILY HOMES,93 STOCKTON STREET                       ,11206,1438,3980,2007,477500,-73.94902038574219,40.6962890625
STATEN ISLAND,NEW SPRINGVILLE          ,ONE FAMILY HOME,64 VASSAR STREET                         ,10314,3040,2420,1970,302000,-74.16011810302734,40.58829116821289
BRONX,THROGS NECK              ,ONE FAMILY HOME,2762 HARDING AVENUE                      ,10465,2217,1288,1965,468500,-73.82044219970703,40.814849853515625
STATEN ISLAND,ELTINGVILLE,ONE FAMILY HOME,42 DORVAL PLACE,10312,3134,1280,1975,309000,-74.1781997680664,40.558650970458984
QUEENS,ASTORIA                  ,TWO FAMILY HOMES,3239 32 STREET                           ,11106,2000,2030,1945,580000,-74.22931671142578,40.51860046386719
BROOKLYN,BUSHWICK                 ,THREE FAMILY HOMES,697A EVERGREEN AVENUE                    ,11207,1250,3800,2005,750000,-73.90962219238281,40.686946868896484
QUEENS,SPRINGFIELD GARDENS      ,TWO FAMILY HOMES,186-10 CHARLES COURT                     ,11413,2800,1520,2005,400000,-73.7572021484375,40.671268463134766
QUEENS,FLUSHING-NORTH           ,ONE FAMILY HOME,50-08 UTOPIA PARKWAY                     ,11365,4000,1182,1950,520000,-73.79296875,40.74420928955078
STATEN ISLAND,MIDLAND BEACH            ,ONE FAMILY HOME,528 LIBERTY AVENUE                       ,10305,1740,1825,1986,352000,-74.08547973632812,40.58203125
BRONX,KINGSBRIDGE HTS/UNIV HTS ,TWO FAMILY HOMES,2160 GRAND AVENUE                        ,10453,2000,2340,1991,426500,-73.9068374633789,40.85667037963867
BRONX,CASTLE HILL/UNIONPORT,TWO FAMILY HOMES,2226 NORTON AVENUE,10473,2325,1902,2000,580000,-73.84648895263672,40.81475830078125
BROOKLYN,SPRING CREEK             ,TWO FAMILY HOMES,1120 ESSEX STREET                        ,11208,1872,2460,2008,357000,-73.87561798095703,40.681610107421875
STATEN ISLAND,TOTTENVILLE              ,ONE FAMILY HOME,15 BRIGHTON STREET                       ,10307,1688,1744,2005,435310,-74.24463653564453,40.50931167602539
BROOKLYN,BERGEN BEACH             ,TWO FAMILY HOMES,2219 EAST 69TH STREET                    ,11234,2667,2439,2003,752500,-73.90644073486328,40.61692810058594
QUEENS,LAURELTON,TWO FAMILY HOMES,21941 144 AVE,11413,4000,1434,1950,630000,-73.74640655517578,40.684669494628906
STATEN ISLAND,EMERSON HILL,ONE FAMILY HOME,20 ENDOR AVENUE,10301,5580,2358,1965,795000,-74.10082244873047,40.60824966430664
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,TWO FAMILY HOMES,1737 POPHAM AVENUE                       ,10453,2146,3000,1993,412000,-73.91966247558594,40.85081100463867
QUEENS,SOUTH OZONE PARK         ,ONE FAMILY HOME,133-41 127 STREET                        ,11420,2667,1392,1995,340000,-73.80326080322266,40.672210693359375
QUEENS,REGO PARK                ,ONE FAMILY HOME,66-25 BOOTH STREET                       ,11374,2000,1784,1945,668000,-73.85590362548828,40.72618103027344
QUEENS,WHITESTONE               ,TWO FAMILY HOMES,15009 22 AVENUE                          ,11357,2123,1998,1950,499900,-73.81339263916016,40.797767639160156
QUEENS,SPRINGFIELD GARDENS      ,ONE FAMILY HOME,167-20 144 DRIVE                         ,11434,1838,1454,1950,410000,-73.77285766601562,40.665069580078125
QUEENS,HOLLISWOOD               ,ONE FAMILY HOME,84-46 DUNTON STREET                      ,11423,7488,1567,1945,672000,-73.76481628417969,40.722347259521484
STATEN ISLAND,MARINERS HARBOR          ,ONE FAMILY HOME,17 RONALD AVENUE                         ,10303,2300,1260,1987,372000,-74.14862060546875,40.62773132324219
QUEENS,FAR ROCKAWAY             ,ONE FAMILY HOME,13-18 DAVIES ROAD                        ,11691,4500,1979,1950,365000,-73.74738311767578,40.59931945800781
QUEENS,JACKSON HEIGHTS          ,ONE FAMILY HOME,31-43 75TH  STREET                       ,11370,2000,1480,1960,600000,-73.89202117919922,40.757320404052734
QUEENS,LITTLE NECK              ,ONE FAMILY HOME,25110 52 AVENUE                          ,11362,6100,3170,1950,698000,-73.72583770751953,40.7663688659668
BRONX,BAYCHESTER               ,TWO FAMILY HOMES,1118 EAST 222ND ST                       ,10469,2452,2517,2005,565000,-73.85005187988281,40.881690979003906
QUEENS,REGO PARK                ,ONE FAMILY HOME,6430 AUSTIN STREET                       ,11374,1926,2148,1945,440000,-73.86180877685547,40.726844787597656
BRONX,BRONXDALE                ,THREE FAMILY HOMES,663 ADEE AVENUE                          ,10467,2200,4484,1987,335000,-73.86882019042969,40.869911193847656
STATEN ISLAND,ARDEN HEIGHTS            ,ONE FAMILY HOME,306 HAMPTON GREEN                        ,10312,1778,2062,1975,330000,-74.19364929199219,40.55461120605469
STATEN ISLAND,MIDLAND BEACH            ,ONE FAMILY HOME,665 OCEANSIDE AVENUE                     ,10305,1734,1300,1997,460646,-74.0792236328125,40.57876968383789
STATEN ISLAND,MIDLAND BEACH            ,ONE FAMILY HOME,396 PATTERSON AVENUE                     ,10305,1982,1848,2003,393941,-74.08226013183594,40.58108901977539
STATEN ISLAND,HUGUENOT                 ,ONE FAMILY HOME,516 POWELL STREET                        ,10312,5600,960,1965,450000,-74.19940948486328,40.54270935058594
BROOKLYN,OCEAN HILL               ,TWO FAMILY HOMES,1813 ST JOHN'S PLACE                     ,11233,1070,3060,2005,695000,-73.91726684570312,40.670021057128906
BRONX,WAKEFIELD                ,ONE FAMILY HOME,4265B MURDOCK AVENUE                     ,10466,2700,2876,2006,510000,-73.84012603759766,40.89918518066406
BRONX,BAYCHESTER,TWO FAMILY HOMES,2565 FLINT AVENUE,10475,2900,2008,1963,520000,-73.81836700439453,40.88922119140625
STATEN ISLAND,BULLS HEAD               ,TWO FAMILY HOMES,225 ARLENE STREET                        ,10314,4000,2617,1970,639000,-74.16412353515625,40.6127815246582
QUEENS,ARVERNE                  ,TWO FAMILY HOMES,558 BEACH 67TH STREET                    ,11692,3000,1890,2003,489662,-73.79631042480469,40.5965690612793
QUEENS,ASTORIA                  ,THREE FAMILY HOMES,49-13 31ST AVENUE                        ,11377,2000,3100,1975,575500,-73.90921783447266,40.757911682128906
BROOKLYN,CROWN HEIGHTS            ,THREE FAMILY HOMES,1922 UNION STREET                        ,11233,1839,3264,2007,991000,-73.9236068725586,40.66722106933594
QUEENS,FLORAL PARK              ,ONE FAMILY HOME,84-19 256TH   STREET                     ,11001,4000,1095,1945,495000,-73.71141052246094,40.735931396484375
QUEENS,CORONA                   ,THREE FAMILY HOMES,34-30 106 STREET                         ,11368,2000,3025,2002,1100000,-73.85685729980469,40.75606918334961
QUEENS,BELLEROSE                ,ONE FAMILY HOME,86-08 248TH   STREET                     ,11426,4000,1274,1960,590000,-73.71822357177734,40.73136901855469
QUEENS,GLENDALE                 ,ONE FAMILY HOME,80-44 59 STREET                          ,11385,2500,4080,2005,800000,-73.85942840576172,40.71229934692383
BROOKLYN,SHEEPSHEAD BAY           ,TWO FAMILY HOMES,2532 EAST 28TH   STREET                  ,11235,1992,1599,1955,620000,-73.9422378540039,40.59067153930664
QUEENS,OZONE PARK               ,ONE FAMILY HOME,133-13 86TH   STREET                     ,11417,2142,1506,1950,385000,-73.84996032714844,40.673851013183594
STATEN ISLAND,ELTINGVILLE              ,ONE FAMILY HOME,8 NOEL STREET                            ,10312,9500,1216,1965,595000,-74.16192626953125,40.53282928466797
STATEN ISLAND,ARDEN HEIGHTS            ,TWO FAMILY HOMES,23 ALMOND STREET                         ,10312,8000,2296,1970,616000,-74.22931671142578,40.51860046386719
QUEENS,ST. ALBANS               ,ONE FAMILY HOME,174-08 SAYRES AVENUE                     ,11433,3770,2260,1992,510000,-73.77754974365234,40.69438171386719
QUEENS,OAKLAND GARDENS          ,TWO FAMILY HOMES,64-58 232 STREET                         ,11364,4000,2357,1945,1055000,-74.22931671142578,40.51860046386719
BRONX,THROGS NECK              ,ONE FAMILY HOME,3116 WISSMAN AVENUE                      ,10465,1638,1687,1960,438000,-73.80915832519531,40.82032012939453
QUEENS,EAST ELMHURST            ,ONE FAMILY HOME,23-59 100TH STREET                       ,11369,2542,1104,1950,402000,-74.22931671142578,40.51860046386719
STATEN ISLAND,MIDLAND BEACH            ,ONE FAMILY HOME,291 KISWICK STREET                       ,10306,2000,1788,2006,370000,-74.0986099243164,40.57194900512695
BRONX,WAKEFIELD                ,TWO FAMILY HOMES,4103 DE REIMER AVENUE                    ,10466,2250,2299,1960,355000,-73.84303283691406,40.89324188232422
STATEN ISLAND,WILLOWBROOK              ,TWO FAMILY HOMES,31 FIELDS AVENUE                         ,10314,4600,2230,1970,740000,-74.137451171875,40.60226821899414
QUEENS,FLORAL PARK,ONE FAMILY HOME,80-42 261ST STREET,11004,4000,1652,1950,813000,-73.71003723144531,40.74380874633789
BRONX,CASTLE HILL/UNIONPORT    ,ONE FAMILY HOME,2140 VIRGIL PLACE                        ,10473,2040,1620,1960,340000,-73.84986114501953,40.822208404541016
BROOKLYN,GRAVESEND,THREE FAMILY HOMES,222 BAY 40TH   STREET,11214,2063,2376,1965,1338000,-73.99120330810547,40.5931282043457
QUEENS,FLUSHING-NORTH           ,THREE FAMILY HOMES,41-77 SUMMIT COURT                       ,11355,1470,4036,2005,1810000,-73.83084106445312,40.755001068115234
STATEN ISLAND,CONCORD-FOX HILLS,ONE FAMILY HOME,223 SKYLINE DRIVE,10304,1090,900,2002,389000,-74.22931671142578,40.51860046386719
BROOKLYN,DYKER HEIGHTS            ,TWO FAMILY HOMES,6718 10 AVENUE                           ,11219,1920,2692,1955,645000,-73.99837493896484,40.638668060302734
BROOKLYN,BEDFORD STUYVESANT       ,TWO FAMILY HOMES,551 KOSCIUSKO STREET                     ,11221,2083,2874,1993,405000,-73.9326171875,40.69286346435547
STATEN ISLAND,ROSSVILLE                ,ONE FAMILY HOME,64 GRAFE STREET                          ,10309,3264,1620,1994,428000,-74.21092987060547,40.55112075805664
QUEENS,HOWARD BEACH             ,ONE FAMILY HOME,158-27 86TH   STREET                     ,11414,5000,2025,1950,540000,-73.8462905883789,40.659080505371094
QUEENS,JAMAICA ESTATES,ONE FAMILY HOME,184-70 MIDLAND PARKWAY,11432,6142,4896,2004,1500000,-73.78118896484375,40.724178314208984
STATEN ISLAND,TRAVIS                   ,ONE FAMILY HOME,69 BERESFORD AVENUE                      ,10314,2240,1875,2003,418782,-74.18839263916016,40.587589263916016
STATEN ISLAND,NEW DORP                 ,TWO FAMILY HOMES,90 8 STREET                              ,10306,5000,2810,1980,635000,-74.09117126464844,40.58755874633789
BROOKLYN,SHEEPSHEAD BAY           ,TWO FAMILY HOMES,2814 EAST 28TH STREET                    ,11235,1725,2670,1995,850000,-73.94098663330078,40.584388732910156
STATEN ISLAND,ROSSVILLE                ,ONE FAMILY HOME,774 CORRELL AVENUE                       ,10309,2625,2150,1996,499500,-74.21875,40.544960021972656
QUEENS,MIDDLE VILLAGE           ,TWO FAMILY HOMES,59-32 70TH STREET                        ,11378,2100,2425,1950,685000,-73.89058685302734,40.723670959472656
BROOKLYN,SHEEPSHEAD BAY           ,TWO FAMILY HOMES,2980 AVENUE Z                            ,11235,2133,2232,1960,539000,-73.93756103515625,40.58961868286133
BRONX,BATHGATE,THREE FAMILY HOMES,1985 BATHGATE AVENUE,10457,2022,2904,2000,709670,-74.11316680908203,40.62331771850586
QUEENS,ASTORIA                  ,THREE FAMILY HOMES,20-15 21ST STREET                        ,11105,3300,2772,1945,715000,-73.91252899169922,40.78342819213867
BRONX,WILLIAMSBRIDGE           ,TWO FAMILY HOMES,3641 BRONXWOOD AVENUE                    ,10469,1860,4000,1965,395000,-73.85891723632812,40.87876892089844
QUEENS,SPRINGFIELD GARDENS      ,TWO FAMILY HOMES,142-02 174TH STREET                      ,11434,1960,2000,2005,529000,-73.76667785644531,40.67036056518555
BRONX,SOUNDVIEW                ,TWO FAMILY HOMES,620 ROSEDALE AVENUE                      ,10473,3250,3130,1970,309000,-73.86563873291016,40.81724166870117
BROOKLYN,BEDFORD STUYVESANT       ,THREE FAMILY HOMES,94 MARION STREET                         ,11233,2000,3012,2008,505500,-73.92716979980469,40.67967987060547
BRONX,THROGS NECK              ,TWO FAMILY HOMES,3113 HARDING AVENUE                      ,10465,3143,3168,1970,515000,-73.80760192871094,40.817169189453125
QUEENS,WHITESTONE               ,ONE FAMILY HOME,152-08 10TH   AVENUE                     ,11357,2375,1056,1950,445000,-73.80992126464844,40.793270111083984
QUEENS,FLUSHING-NORTH           ,ONE FAMILY HOME,46-20 195TH   STREET                     ,11358,4000,1290,1950,800000,-73.7863998413086,40.753150939941406
QUEENS,OAKLAND GARDENS          ,ONE FAMILY HOME,64-23 CLOVERDALE BOULEVARD               ,11364,4650,1132,1950,865000,-74.22931671142578,40.51860046386719
STATEN ISLAND,GREAT KILLS              ,ONE FAMILY HOME,64 RIDGECREST AVENUE                     ,10312,6195,3712,1955,480000,-74.15573120117188,40.53596115112305
QUEENS,WOODSIDE                 ,ONE FAMILY HOME,33-39 58 STREET                          ,11377,2500,4080,2006,840000,-73.8915023803711,40.76118087768555
QUEENS,ST. ALBANS               ,TWO FAMILY HOMES,172-14 116 AVENUE                        ,11434,4000,3150,1950,569000,-73.75932312011719,40.694461822509766
BROOKLYN,FLATBUSH-EAST            ,TWO FAMILY HOMES,1435 SCHENECTADY AVENUE                  ,11203,1933,1824,1955,540000,-74.22915649414062,40.51850128173828
BROOKLYN,MADISON                  ,TWO FAMILY HOMES,2071 EAST 15 STREET                      ,11229,1500,2148,1960,420000,-73.931396484375,40.61206817626953
STATEN ISLAND,PLEASANT PLAINS          ,ONE FAMILY HOME,418 RICHARD AVENUE                       ,10309,7000,1347,1950,490000,-74.22399139404297,40.507999420166016
QUEENS,GLENDALE                 ,TWO FAMILY HOMES,59-26 COOPER AVE                         ,11385,1358,1798,1962,373056,-73.86393737792969,40.71097946166992
QUEENS,ELMHURST                 ,ONE FAMILY HOME,5123 72ND STREET                         ,11377,2000,2035,1950,495000,-74.22931671142578,40.51860046386719
QUEENS,CAMBRIA HEIGHTS          ,ONE FAMILY HOME,119-22 237 ST                            ,11411,4000,1004,1950,465000,-74.22931671142578,40.51860046386719
QUEENS,REGO PARK                ,ONE FAMILY HOME,102-41 68TH   AVENUE                     ,11375,1808,1332,1945,659000,-73.85211181640625,40.72418975830078
STATEN ISLAND,ROSEBANK                 ,ONE FAMILY HOME,27 BELAIR LANE                           ,10305,1950,1710,1996,365000,-74.06685638427734,40.6097412109375
BRONX,THROGS NECK              ,ONE FAMILY HOME,2807 PHILIP AVENUE                       ,10465,2000,1463,1945,305000,-73.82681274414062,40.82648849487305
QUEENS,HOWARD BEACH,ONE FAMILY HOME,158-38 83RD STREET,11414,5000,1125,1950,555000,-73.84961700439453,40.658329010009766
STATEN ISLAND,TOTTENVILLE,TWO FAMILY HOMES,617 CLERMONT AVENUE,10307,4829,2800,1993,895000,-74.2437973022461,40.50191116333008
QUEENS,BAYSIDE                  ,ONE FAMILY HOME,46-34 BELL BOULEVARD                     ,11361,1800,1332,1950,525000,-73.76818084716797,40.75722885131836
BROOKLYN,OCEAN HILL               ,THREE FAMILY HOMES,2190 FULTON STREET                       ,11233,2000,4240,2004,645670,-73.90895080566406,40.678001403808594
QUEENS,BAYSIDE                  ,ONE FAMILY HOME,202-15 23RD AVE                          ,11360,6532,1400,1950,690000,-74.22931671142578,40.51860046386719
STATEN ISLAND,ANNADALE                 ,ONE FAMILY HOME,4969 AMBOY ROAD                          ,10312,7695,1300,1960,325000,-74.17637634277344,40.53688049316406
BROOKLYN,BROWNSVILLE              ,ONE FAMILY HOME,195 CHESTER STREET                       ,11212,2367,1148,1987,350000,-73.9107894897461,40.666908264160156
QUEENS,LITTLE NECK              ,ONE FAMILY HOME,254-14 57TH AVE                          ,11362,3700,1050,1950,488800,-73.72596740722656,40.76274871826172
QUEENS,HOWARD BEACH             ,ONE FAMILY HOME,15620 90 STREET                          ,11414,4681,2244,1955,625000,-73.82888793945312,40.6639289855957
